Complexity,Loss,Equation
1,150.33719,"x0"
3,41.19608,"x0 * 6.840656"
4,35.72383,"-1.5415891 / exp(x0)"
5,16.493849,"x0 * (6.6035705 - x0)"
6,15.830138,"4.1237025 - exp(0.8778101 - x0)"
7,1.4558371,"exp(x0) - exp(0.7332508 - x0)"
8,1.4081919,"exp(x0) - exp(exp(-0.32194194) - x0)"
9,1.2470918e-12,"((x0 * x0) + 1.0) * (x0 - 1.0)"
11,1.0039623e-12,"(((x0 * (x0 - 1.0)) - -1.0) * x0) - 1.0"
13,9.45858e-13,"(((((x0 * x0) + 1.1870475) - x0) + -0.18704729) * x0) - 1.0"
15,8.3025205e-13,"((((x0 * x0) - (x0 + -1.0006084)) * x0) + (x0 * -0.00060830166)) - 1.0000001"
17,8.256962e-13,"((((x0 * x0) - (x0 + -1.0006084)) * x0) + (x0 * -0.0006083042)) - (x0 / x0)"
24,8.089675e-13,"(((x0 * x0) + ((cos(x0 + exp(x0)) * 1.2159768e-7) - (x0 + -1.0))) * (x0 + (cos(x0) * 1.2159768e-7))) - 1.0"
