Dataset,Biblioteca,R2,RMSE,MAE,MAPE_pct,Tiempo_s,Complejidad,Profundidad
F1: x²,Nuestra,1.0,0.0,0.0,0.0,0.68,3,1
F1: x²,gplearn,1.0,0.0,0.0,0.0,0.19,3,1
F1: x²,PySR,1.0,0.0,0.0,0.0,18.06,13,6
F1: x²,DEAP,1.0,0.0,0.0,0.0,1.01,3,1
F2: x²+sin(x),Nuestra,1.0,0.0,0.0,0.0,0.86,6,2
F2: x²+sin(x),gplearn,1.0,0.0,0.0,0.0,2.29,6,2
F2: x²+sin(x),PySR,1.0,0.0,0.0,0.0,1.58,10,5
F2: x²+sin(x),DEAP,0.9776,0.7094,0.632,130.23,0.95,3,1
F3: x·sin(x)+cos(x),Nuestra,0.9609,0.4873,0.4058,26.68,1.71,10,4
F3: x·sin(x)+cos(x),gplearn,0.9825,0.3259,0.2687,18.98,4.35,180,37
F3: x·sin(x)+cos(x),PySR,1.0,0.0,0.0,0.0,1.66,7,3
F3: x·sin(x)+cos(x),DEAP,0.9833,0.3189,0.2138,9.44,1.68,24,6
F4: x0·x1+sin(x0),Nuestra,0.9651,0.688,0.6249,93.05,0.6,3,1
F4: x0·x1+sin(x0),gplearn,1.0,0.0,0.0,0.0,0.85,6,2
F4: x0·x1+sin(x0),PySR,1.0,0.0,0.0,0.0,1.56,6,3
F4: x0·x1+sin(x0),DEAP,1.0,0.0,0.0,0.0,1.02,6,2
F5: x³-x²+x-1,Nuestra,0.9978,0.5155,0.4188,63.32,2.17,26,6
F5: x³-x²+x-1,gplearn,0.9794,1.5626,1.0686,100.63,3.88,76,14
F5: x³-x²+x-1,PySR,1.0,0.0,0.0,0.0,1.73,11,5
F5: x³-x²+x-1,DEAP,0.9988,0.3692,0.3692,46.69,1.52,13,5
