dataset,group,library,r2,rmse,time_s,complexity,vns_improvements,expression
F01: x²,Simple,EvoSymbolic,1.0,0.0,0.54,3,0,(x0 * x0)
F01: x²,Simple,EvoSymbolicVNS,1.0,0.0,0.64,3,0,(x0 * x0)
F02: x²+sin(x),Simple,EvoSymbolic,1.0,0.0,0.6,6,0,(sin(x0) + (x0 * x0))
F02: x²+sin(x),Simple,EvoSymbolicVNS,1.0,0.0,0.77,6,0,(sin(x0) + (x0 * x0))
F03: x³-x,Simple,EvoSymbolic,1.0,0.0,0.97,7,0,(((x0 * x0) * x0) - x0)
F03: x³-x,Simple,EvoSymbolicVNS,1.0,0.0,1.57,17,11,((((-7.384 - -6.384) + (x0 * -4.603e-06)) + ((x0 * x0) * (0.3603 - -0.6397))) * x0)
F04: sqrt(x)+log(x),Simple,EvoSymbolic,0.9155,0.4256,0.42,3,0,(x0 * 0.8579)
F04: sqrt(x)+log(x),Simple,EvoSymbolicVNS,0.9201,0.4138,0.59,5,6,exp((log(x0) * 0.8802))
F05: sin(x)·cos(x),Simple,EvoSymbolic,1.0,0.0,1.54,6,0,(sin((x0 + x0)) / 2)
F05: sin(x)·cos(x),Simple,EvoSymbolicVNS,1.0,0.0,2.25,6,1,(sin((x0 + x0)) / 2)
F06: x·sin(x)+cos(x),Media,EvoSymbolic,0.9623,0.4057,1.65,21,0,(sin((x0 + (((x0 / 0.02043) - cos(x0)) / 585.7))) * (x0 / ((x0 - x0) / (x0 - x0))))
F06: x·sin(x)+cos(x),Media,EvoSymbolicVNS,0.9552,0.4424,1.69,29,3,(((((x0 / -1.284) - cos(x0)) + (sqrt(x0) / (x0 + -3.904))) / (x0 - x0)) - (sqrt(((x0 + x0) - x0)) - 
F07: x³-x²+x-1,Media,EvoSymbolic,0.9167,2.9304,1.11,34,0,(((((log(x0) + (x0 + -0.1799)) + x0) - x0) + (((1.354 * x0) * (3.974 - x0)) - sin((((26.52 - x0) * (
F07: x³-x²+x-1,Media,EvoSymbolicVNS,0.9664,1.862,1.91,30,21,(((-0.4222 + (((8.315 * x0) * (cos(sin(x0)) * cos((x0 + -3.889)))) + (1.612 * x0))) + (1.697 * x0)) 
F08: x0·x1+sin(x0),Media,EvoSymbolic,1.0,0.0,0.59,6,0,((x1 * x0) + sin(x0))
F08: x0·x1+sin(x0),Media,EvoSymbolicVNS,1.0,0.0,0.7,6,0,((x1 * x0) + sin(x0))
F09: exp(x)/x,Media,EvoSymbolic,1.0,0.0,1.02,4,0,(exp(x0) / x0)
F09: exp(x)/x,Media,EvoSymbolicVNS,1.0,0.0,1.71,4,0,(exp(x0) / x0)
F10: x²·sin(x),Media,EvoSymbolic,0.9866,0.3835,1.95,17,0,(((sin(x0) * log((-25.85 * x0))) * log((-1.304 * x0))) * log((-1.634 * x0)))
F10: x²·sin(x),Media,EvoSymbolicVNS,0.9938,0.2596,3.21,17,8,(((sin(x0) * sqrt((x0 / 0.2055))) * log((-1.604 * x0))) * log((-1.604 * x0)))
F11: sin(x0)·cos(x1)+x0·x1,Compleja,EvoSymbolic,0.9788,0.4555,0.81,3,0,(x1 * x0)
F11: sin(x0)·cos(x1)+x0·x1,Compleja,EvoSymbolicVNS,0.9788,0.4555,1.05,3,0,(x1 * x0)
F12: x0²+x1²-x0·x1,Compleja,EvoSymbolic,0.4701,3.8639,1.57,16,0,((sin((sin((x0 * x0)) + sin(x1))) + (x0 * x0)) + (x1 * x1))
F12: x0²+x1²-x0·x1,Compleja,EvoSymbolicVNS,0.6548,3.1185,1.99,14,2,(((x0 * x0) + sin(((x1 / x0) / -0.8615))) + (x1 * x1))
F13: x0·x1+x2²-sin(x0),Compleja,EvoSymbolic,0.3952,1.6105,0.98,3,0,(x2 * x2)
F13: x0·x1+x2²-sin(x0),Compleja,EvoSymbolicVNS,0.3952,1.6105,1.18,3,0,(x2 * x2)
F14: sin(x²)+cos(x+1),Compleja,EvoSymbolic,0.6716,0.4756,3.04,26,0,cos(((sqrt((cos(((x0 / -0.6295) / x0)) * exp(0.1468))) - x0) - sqrt((cos((cos(-2.13) - (x0 * -2.653)
F14: sin(x²)+cos(x+1),Compleja,EvoSymbolicVNS,0.5793,0.5383,3.57,16,16,cos(((cos((cos(((x0 - -1.588) * x0)) * exp(0.5674))) - x0) - sqrt(x0)))
F15: (x0+x1)²·sin(x0-x1),Compleja,EvoSymbolic,0.1779,2.3286,1.05,9,0,((x0 / -2.087) + ((x1 / -1.511) + x0))
F15: (x0+x1)²·sin(x0-x1),Compleja,EvoSymbolicVNS,0.7812,1.2014,1.04,16,4,(((((x1 / 0.5228) * sin(x1)) * ((x1 / -2.687) - x0)) + x0) + x0)
